"global_step","train-dgx_1nodo_semifreezed_0.000001_full - _step","train-dgx_1nodo_semifreezed_0.000001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.000001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.00001_full - _step","train-dgx_1nodo_semifreezed_0.00001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.00001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.0001_full - _step","train-dgx_1nodo_semifreezed_0.0001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.0001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_freezed_full - _step","train-dgx_1nodo_freezed_full - _step__MIN","train-dgx_1nodo_freezed_full - _step__MAX","train-dgx_1nodo_freezed_full - losses/inner_action_loss","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MIN","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MAX"
"5760","","","","","","","5","5","5","0.4714703","0.4714703","0.4714703","5","5","5","0.6721485","0.6721485","0.6721485","","","","","",""
"11520","30725","15","61435","0.421958825","0.36682895","0.4770887","","","","","","","","","","","","","","","","","",""
"17280","61445","61445","61445","0.66897726","0.66897726","0.66897726","25","25","25","0.51551306","0.51551306","0.51551306","25","25","25","0.61402136","0.61402136","0.61402136","","","","","",""
"23040","35","35","35","0.48330408","0.48330408","0.48330408","","","","","","","30940","35","61845","0.4955479","0.3192659","0.6718299","","","","","",""
"28800","","","","","","","61645","61645","61645","0.43467823","0.43467823","0.43467823","30950","45","61855","0.5477534550000001","0.32665986","0.76884705","","","","","",""
"34560","30765","55","61475","0.646063685","0.28912947","1.0029979","","","","","","","","","","","","","","","","","",""
"40320","65","65","65","0.9955199","0.9955199","0.9955199","30865","65","61665","0.29985066000000005","0.28717235","0.31252897","61875","61875","61875","0.28908768","0.28908768","0.28908768","","","","","",""
"46080","","","","","","","75","75","75","0.3449996","0.3449996","0.3449996","30980","75","61885","0.4295018","0.4036124","0.4553912","","","","","",""
"51840","","","","","","","85","85","85","0.2664698","0.2664698","0.2664698","61895","61895","61895","0.37245232","0.37245232","0.37245232","","","","","",""
"57600","61515","61515","61515","0.33307013","0.33307013","0.33307013","95","95","95","0.27221727","0.27221727","0.27221727","95","95","95","0.3953603","0.3953603","0.3953603","","","","","",""
"63360","30815","105","61525","0.49941169","0.48688248","0.5119409","","","","","","","105","105","105","0.4794812","0.4794812","0.4794812","","","","","",""
