"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"3388","","","","","","","3","3","3","0.1601773202419281","0.1601773202419281","0.1601773202419281","","","","","",""
"3792","","","","","","","","","","","","","3","3","3","0.1680641919374466","0.1680641919374466","0.1680641919374466"
"4200","","","","","","","4","4","4","0.25356224179267883","0.25356224179267883","0.25356224179267883","","","","","",""
"4812","","","","","","","","","","","","","4","4","4","0.15362174808979034","0.15362174808979034","0.15362174808979034"
"9588","","","","","","","10","10","10","0.17844220995903015","0.17844220995903015","0.17844220995903015","","","","","",""
"10848","","","","","","","","","","","","","10","10","10","0.1360955387353897","0.1360955387353897","0.1360955387353897"
"14336","","","","","","","15","15","15","0.21466279029846191","0.21466279029846191","0.21466279029846191","","","","","",""
"15360","14","14","14","0.00838546920567751","0.00838546920567751","0.00838546920567751","","","","","","","","","","","",""
"15820","","","","","","","","","","","","","15","15","15","0.17305611073970795","0.17305611073970795","0.17305611073970795"
"17344","","","","","","","18","18","18","0.1862017810344696","0.1862017810344696","0.1862017810344696","","","","","",""
"18432","17","17","17","0.008702462539076805","0.008702462539076805","0.008702462539076805","","","","","","","","","","","",""
"18864","","","","","","","","","","","","","18","18","18","0.12339954823255539","0.12339954823255539","0.12339954823255539"
"21504","20","20","20","0.00917103886604309","0.00917103886604309","0.00917103886604309","","","","","","","","","","","",""
"23924","","","","","","","","","","","","","23","23","23","0.10842941701412201","0.10842941701412201","0.10842941701412201"
"27964","","","","","","","29","29","29","0.16793552041053772","0.16793552041053772","0.16793552041053772","","","","","",""
"28936","","","","","","","","","","","","","28","28","28","0.11369848251342773","0.11369848251342773","0.11369848251342773"
"29948","","","","","","","","","","","","","29","29","29","0.12759530544281006","0.12759530544281006","0.12759530544281006"
"30720","29","29","29","0.008777405135333538","0.008777405135333538","0.008777405135333538","","","","","","","","","","","",""
"30940","","","","","","","","","","","","","30","30","30","0.08516079187393188","0.08516079187393188","0.08516079187393188"
"32752","","","","","","","34","34","34","0.15326163172721863","0.15326163172721863","0.15326163172721863","","","","","",""
"34888","","","","","","","","","","","","","34","34","34","0.07724975049495697","0.07724975049495697","0.07724975049495697"
"35840","34","34","34","0.008867403492331505","0.008867403492331505","0.008867403492331505","","","","","","","","","","","",""
"41984","40","40","40","0.00829433836042881","0.00829433836042881","0.00829433836042881","","","","","","","","","","","",""
